performanceId,name,stageName,startTime,endTime,description,genreList,socialList
PID-18c2ef6a-85c3-4f30-9c5f-dd0a387b2ec1,Kit - Kat,Boobs & Berries,2026-06-05 16:20,2026-06-05 17:20,,,
PID-617f33bf-a3c2-463a-a21f-4887bd553d41,Stargirl,Chaitrance,2026-06-05 16:30,2026-06-05 18:30,,morning psy,
PID-e0f85f55-1702-4f84-be51-89e82c9ebd33,Flying Fuck,Electric Circus Lounge,2026-06-05 17:00,2026-06-05 18:00,,Slomo Nu Disco,
PID-f4555ebf-cf25-4c96-8345-e26f5a8b2c7c,Matterson,Jellyfish Lounge,2026-06-05 17:00,2026-06-05 18:00,,house,
PID-ca574a1b-e225-4728-961f-8128930cd7b8,JTDub,Ripple Effect,2026-06-05 17:00,2026-06-05 18:00,Succulent selects satisfy the senses.,"house,breaks,bass",
PID-570c9a67-c55a-4006-b817-3fefb93fdeee,Space Tiger,Thirsty Bar,2026-06-05 17:00,2026-06-05 18:00,,,
PID-28723d78-e140-4ef2-98a3-b0f7fc1502aa,Mikey B,Ironic Spin,2026-06-05 17:00,2026-06-05 18:00,,house,
PID-63d81820-0d57-4a61-8892-90f9e7a7d7e2,Diva-B,Boobs & Berries,2026-06-05 17:20,2026-06-05 18:00,,,
PID-26084d75-7d59-4961-a1a8-eb8936e9fe24,CRAIGISON (9000ears),Electric Circus Lounge,2026-06-05 18:00,2026-06-05 19:30,"Bring your armbands, floaties, swimsuits and Speedos for a strictly moist, upfront, poolside disco experience.",Poolside Dad Bod Speedo Disco,https://soundcloud.com/death-wish-disco
PID-488a9aec-23f7-4064-a90c-c8cdf3f189c6,Sarah-Hannah,Jellyfish Lounge,2026-06-05 18:00,2026-06-05 19:00,,house,
PID-0266804d-43fc-41ae-bcfc-c11907549478,Alpine Alchemy,Ripple Effect,2026-06-05 18:00,2026-06-05 19:00,Bassy vocals that will get you right in the feels.,"dubstep,drum & bass,singalongs",
PID-fa29b70c-fd5b-47cc-bc9c-3302e0900388,Selayne,Boobs & Berries,2026-06-05 18:00,2026-06-05 19:00,,,
PID-bbecf64b-f540-4d52-8851-67e649d7cbd8,Milf Maid,Thirsty Bar,2026-06-05 18:00,2026-06-05 19:00,,,
PID-cc9b12ed-5ab2-410c-bc12-078fbf66a355,Mojo Jojo,Ironic Spin,2026-06-05 18:00,2026-06-05 19:00,,house,
PID-c84ae902-618d-4215-9b0b-14f9215d783d,Sunkid,Chaitrance,2026-06-05 18:30,2026-06-05 20:00,,goatrance,
PID-89d39a05-3ccb-42fa-8553-ba89afd5d8a9,Dream Fish / Tali,Under The Mother Tree,2026-06-05 18:30,2026-06-05 20:00,,,
PID-d1b4c636-7e9f-48cc-9e77-427bd9e4b5c6,luxuryus,SKYBAR,2026-06-05 19:00,2026-06-05 19:45,,"eclectic groovy beats,rhythms,vibes",
PID-b225d814-5d18-4125-9746-2693c45b2197,Leanne,Jellyfish Lounge,2026-06-05 19:00,2026-06-05 20:00,,house,
PID-8f591b63-e4b0-435f-95d2-bb5e0709e2b7,DJDadddy (not mucsluck),Ripple Effect,2026-06-05 19:00,2026-06-05 20:00,The roof is not my son but I will raise it - poorly,"disco,country,top 40,techno",
PID-b5fdf635-6351-4834-bfe6-66548f92d5d6,Indigoj,Boobs & Berries,2026-06-05 19:00,2026-06-05 20:00,,,
